,ticker,year,Выручка,Операционная прибыль,EBITDA,Чистая прибыль,Опер.денежный поток,CAPEX,FCF,"Див доход, ао",Дивиденды/прибыль,Опер. расходы,Себестоимость,Амортизация,Расх на персонал,Процентные расходы,Активы,Чистые активы,Долг,Чистый долг,Цена акции ао,Число акций ао,Капитализация,EV,Баланс стоимость,EPS,FCF/акцию,BV/акцию,Рентаб EBITDA,Чистая рентаб,Доходность FCF,ROE,ROA,P/E,P/FCF,P/S,P/BV,EV/EBITDA,Долг/EBITDA,R&D/CAPEX,CAPEX/Выручка,total_price,total_price_target,revenue,total_price_momentum,momentum
200,LKOH,2023,7928.0,1428.0,2005.0,1155.0,1824.0,720.0,964.0,14.0,55.0,647.0,,577.0,360.0,24.7,8600.0,6384.0,396.0,-784.0,6761.0,692.9,4684.0,3900.0,6307.0,1667.0,1391.0,9103.0,25.3,14.6,20.6,18.1,13.4,4.06,4.86,0.59,0.74,1.95,-0.39,0.0,9.0,7707.540000000001,8298.186,0.07383786618428645,4763.07,0.4813066521844386
201,LKOH,2024,4421.0,1057.0,1390.0,792.5,1788.0,780.0,979.0,14.6,91.0,529.8,,593.0,295.5,21.6,9283.0,6826.0,380.0,-1146.0,7241.0,692.9,5017.0,3871.0,6731.0,1144.0,1413.0,9715.0,31.4,17.9,19.5,11.6,8.5,6.33,5.12,1.13,0.75,2.78,-0.82,0.0,18.0,8298.186,6557.315,-0.23545571630933051,7707.540000000001,0.07383786618428645
202,MVID,2021,476.4,5.76,9.13,-7.49,19.9,14.6,-9.35,0.0,0.0,83.6,388.8,,28.5,7.9,443.4,23.2,69.1,57.0,437.9,179.8,78.7,135.8,-54.6,-41.7,-52.0,-303.9,1.9,-1.6,-11.9,-32.3,-1.7,-10.5,-8.42,0.17,-1.44,14.9,6.25,0.0,3.0,437.9,160.8,-1.0018292170624865,753.0002999999999,-0.5420750523988361
203,MVID,2022,402.5,7.75,15.5,-6.73,3.76,6.04,-12.5,0.0,0.0,68.7,319.4,,23.2,12.7,334.0,6.38,95.7,65.5,160.8,179.8,28.9,94.4,-70.1,-37.4,-69.6,-390.0,3.8,-1.7,-43.3,-105.4,-2.0,-4.3,-2.31,0.07,-0.41,6.1,4.23,0.0,2.0,160.8,164.0,0.019705071079332337,437.9,-1.0018292170624865
204,MVID,2023,434.4,16.3,21.5,-5.2,16.8,6.8,-1.74,0.0,0.0,75.0,343.0,25.5,25.8,15.7,360.0,-0.2,86.4,67.7,164.0,179.8,29.5,97.2,-73.6,-28.9,-9.68,-409.4,4.9,-1.2,-5.9,2600.0,-1.4,-5.67,-16.9,0.07,-0.4,4.52,3.15,0.0,2.0,164.0,93.0,-0.5672669346709426,160.8,0.019705071079332337
205,MGKL,2022,1.43,0.001,0.355,0.002,-0.401,0.005,0.115,0.0,0.0,0.499,1.16,,0.226,0.137,2.21,0.28,1.17,1.06,3.1,1147.0,3.56,4.61,0.28,0.0,0.1,0.24,24.8,0.2,3.2,0.8,0.1,1546.0,30.9,2.49,12.7,13.0,2.97,0.0,0.0,3.1,2.45058,-0.23507738025782335,3.1,0.0
206,MGKL,2023,2.2,0.27,0.785,0.332,-0.268,0.167,-0.571,3.4,30.0,0.551,1.38,0.2,0.286,0.19,3.46,0.5,1.56,1.07,2.37,1269.0,3.0,4.07,0.5,0.26,-0.45,0.39,35.7,15.1,-19.0,66.4,9.6,9.04,-5.25,1.36,6.05,5.18,1.36,0.0,8.0,2.45058,2.52994,0.03187085580991689,3.1,-0.23507738025782335
207,MGKL,2024,8.7,0.666,1.18,0.393,0.625,0.109,0.398,6.3,48.0,0.718,6.72,0.2,0.29,0.388,4.91,1.06,2.6,1.59,2.38,1269.0,3.02,4.6,0.43,0.31,0.31,0.34,13.6,4.5,13.2,37.3,8.0,7.68,7.59,0.35,7.05,3.89,1.34,0.0,1.0,2.52994,2.63,0.03878825914647893,2.45058,0.03187085580991689
208,MGTS,2022,42.6,15.1,24.1,16.5,19.4,5.7,16.9,0.0,0.0,5.67,17.0,9.0,9.36,1.26,144.9,116.1,0.0,-1.28,1345.0,79.8,120.6,119.3,112.3,206.4,212.1,1408.0,56.5,38.6,15.8,14.2,11.4,7.32,7.12,2.83,1.07,4.95,-0.05,0.0,13.0,1345.0,1605.0,0.17672974352817672,2035.0,-0.4141018058407559
209,MGTS,2023,43.6,15.7,23.8,18.6,18.9,9.54,9.0,0.0,0.0,5.94,17.0,8.1,9.5,1.22,165.2,135.3,0.0,-0.65,1605.0,79.8,148.2,147.5,131.1,232.6,112.8,1643.0,54.5,42.6,7.0,13.7,11.2,7.98,16.5,3.4,1.13,6.21,-0.03,0.0,22.0,1605.0,1175.0,-0.31185560898585696,1345.0,0.17672974352817672
210,MGTS,2024,44.8,15.6,24.0,24.5,16.6,6.94,9.8,0.0,0.0,5.55,17.1,8.4,9.5,1.22,191.7,158.2,0.0,-0.55,1175.0,79.7,106.6,106.1,154.1,307.4,122.9,1933.0,53.6,54.7,10.5,15.5,12.8,4.35,10.9,2.38,0.69,4.42,-0.02,0.0,15.0,1175.0,1205.0,0.02521141934649607,1605.0,-0.31185560898585696
