,ticker,year,Выручка,Операционная прибыль,EBITDA,Чистая прибыль,Опер.денежный поток,CAPEX,FCF,"Див доход, ао",Дивиденды/прибыль,Опер. расходы,Себестоимость,Амортизация,Расх на персонал,Процентные расходы,Активы,Чистые активы,Долг,Чистый долг,Цена акции ао,Число акций ао,Капитализация,EV,Баланс стоимость,EPS,FCF/акцию,BV/акцию,Рентаб EBITDA,Чистая рентаб,Доходность FCF,ROE,ROA,P/E,P/FCF,P/S,P/BV,EV/EBITDA,Долг/EBITDA,R&D/CAPEX,CAPEX/Выручка,total_price,total_price_target,revenue,total_price_momentum,momentum,lin_reg_pred,log_reg_pred
203,MVID,2022,402.5,7.75,15.5,-6.73,3.76,6.04,-12.5,0.0,0.0,68.7,319.4,,23.2,12.7,334.0,6.38,95.7,65.5,160.8,179.8,28.9,94.4,-70.1,-37.4,-69.6,-390.0,3.8,-1.7,-43.3,-105.4,-2.0,-4.3,-2.31,0.07,-0.41,6.1,4.23,0.0,2.0,160.8,164.0,0.0197050710793323,437.9,-1.0018292170624865,0.3802992928037323,0.5121114537467675
204,MVID,2023,434.4,16.3,21.5,-5.2,16.8,6.8,-1.74,0.0,0.0,75.0,343.0,25.5,25.8,15.7,360.0,-0.2,86.4,67.7,164.0,179.8,29.5,97.2,-73.6,-28.9,-9.68,-409.4,4.9,-1.2,-5.9,2600.0,-1.4,-5.67,-16.9,0.07,-0.4,4.52,3.15,0.0,2.0,164.0,93.0,-0.5672669346709426,160.8,0.0197050710793323,-0.034944079692830726,0.520063733223681
205,MGKL,2022,1.43,0.001,0.355,0.002,-0.401,0.005,0.115,0.0,0.0,0.499,1.16,,0.226,0.137,2.21,0.28,1.17,1.06,3.1,1147.0,3.56,4.61,0.28,0.0,0.1,0.24,24.8,0.2,3.2,0.8,0.1,1546.0,30.9,2.49,12.7,13.0,2.97,0.0,0.0,3.1,2.45058,-0.2350773802578233,3.1,0.0,0.36938629675436657,0.5945408294591756
206,MGKL,2023,2.2,0.27,0.785,0.332,-0.268,0.167,-0.571,3.4,30.0,0.551,1.38,0.2,0.286,0.19,3.46,0.5,1.56,1.07,2.37,1269.0,3.0,4.07,0.5,0.26,-0.45,0.39,35.7,15.1,-19.0,66.4,9.6,9.04,-5.25,1.36,6.05,5.18,1.36,0.0,8.0,2.45058,2.52994,0.0318708558099168,3.1,-0.2350773802578233,0.05207017485092959,0.4676482527733176
207,MGKL,2024,8.7,0.666,1.18,0.393,0.625,0.109,0.398,6.3,48.0,0.718,6.72,0.2,0.29,0.388,4.91,1.06,2.6,1.59,2.38,1269.0,3.02,4.6,0.43,0.31,0.31,0.34,13.6,4.5,13.2,37.3,8.0,7.68,7.59,0.35,7.05,3.89,1.34,0.0,1.0,2.52994,2.63,0.0387882591464789,2.45058,0.0318708558099168,0.06789671856581428,0.5292241178639374
208,MGTS,2022,42.6,15.1,24.1,16.5,19.4,5.7,16.9,0.0,0.0,5.67,17.0,9.0,9.36,1.26,144.9,116.1,0.0,-1.28,1345.0,79.8,120.6,119.3,112.3,206.4,212.1,1408.0,56.5,38.6,15.8,14.2,11.4,7.32,7.12,2.83,1.07,4.95,-0.05,0.0,13.0,1345.0,1605.0,0.1767297435281767,2035.0,-0.4141018058407559,0.1604490803995266,0.4928009107058425
209,MGTS,2023,43.6,15.7,23.8,18.6,18.9,9.54,9.0,0.0,0.0,5.94,17.0,8.1,9.5,1.22,165.2,135.3,0.0,-0.65,1605.0,79.8,148.2,147.5,131.1,232.6,112.8,1643.0,54.5,42.6,7.0,13.7,11.2,7.98,16.5,3.4,1.13,6.21,-0.03,0.0,22.0,1605.0,1175.0,-0.3118556089858569,1345.0,0.1767297435281767,-0.11761036241418116,0.4397154352991308
210,MGTS,2024,44.8,15.6,24.0,24.5,16.6,6.94,9.8,0.0,0.0,5.55,17.1,8.4,9.5,1.22,191.7,158.2,0.0,-0.55,1175.0,79.7,106.6,106.1,154.1,307.4,122.9,1933.0,53.6,54.7,10.5,15.5,12.8,4.35,10.9,2.38,0.69,4.42,-0.02,0.0,15.0,1175.0,1205.0,0.025211419346496,1605.0,-0.3118556089858569,0.1376099703852093,0.5019053824400074
214,KROT,2021,15.8,-1.15,-0.82,-0.21,-0.99,0.124,-1.14,0.0,0.0,2.02,14.9,0.3,2.5,,13.2,9.97,0.0,-0.26,390.5,9.22,4.03,3.77,9.96,-22.8,-123.7,1080.0,-5.2,-1.3,-31.7,-2.1,-1.6,-19.2,-3.53,0.26,0.4,-4.59,0.32,0.0,1.0,390.5,504.5,0.256139870513923,370.5,0.0525745245435991,0.29265304827662364,0.6685161262428552
215,KROT,2022,18.2,1.56,1.68,0.57,0.53,0.07,-0.194,0.0,318.0,0.915,15.7,0.1,2.33,,16.8,10.5,0.0,-0.07,504.5,9.22,5.21,5.15,10.5,61.8,-21.0,1141.0,9.2,3.1,-4.2,5.4,3.4,9.15,-26.9,0.29,0.5,3.07,-0.04,0.0,0.0,504.5,2398.0,1.558822495793796,390.5,0.256139870513923,0.46867847276974284,0.738549409301435
216,KROT,2023,21.4,1.94,2.05,1.77,1.55,0.112,1.53,0.0,199.0,1.02,18.2,0.1,2.87,,19.0,14.2,0.0,-0.15,2398.0,9.22,23.2,23.0,14.2,191.5,166.3,1541.0,9.6,8.2,6.9,12.4,9.3,13.1,15.1,1.08,1.63,11.2,-0.07,0.0,1.0,2398.0,1533.0,-0.4474084567156454,504.5,1.558822495793796,-0.36388894117074455,0.47174193770704886
217,MAGN,2022,699.8,109.9,155.1,70.2,142.7,79.5,72.5,0.0,0.0,60.7,527.2,43.6,62.1,2.66,737.8,535.4,73.3,-70.9,33.0,11174.0,368.3,297.4,532.8,6.28,6.49,47.7,22.2,10.0,19.7,13.1,9.5,5.25,5.08,0.53,0.69,1.92,-0.46,0.0,11.0,33.0,54.9666,0.5102181665739512,77.49249999999999,-0.8536735960163483,0.38783313963768246,0.5726881523294632
218,MAGN,2023,763.4,146.2,195.6,118.2,114.9,94.9,30.8,5.3,26.0,74.3,543.4,48.4,69.7,2.88,902.0,662.0,70.3,-91.5,52.2,11174.0,582.7,491.3,658.2,10.6,2.75,58.9,25.6,15.5,5.3,17.9,13.1,4.93,19.0,0.76,0.89,2.51,-0.47,0.0,12.0,54.9666,41.0025,-0.2930926875853046,33.0,0.5102181665739512,-0.06435467342161533,0.5299397649903621
219,MAGN,2024,768.5,99.7,153.0,79.9,113.5,101.2,30.0,6.5,35.0,76.4,592.4,54.3,93.0,3.68,913.2,688.6,47.3,-75.5,38.5,11174.0,430.5,355.0,683.2,7.15,2.69,61.1,19.9,10.4,7.0,11.6,8.7,5.39,14.3,0.56,0.63,2.32,-0.49,0.0,13.0,41.0025,28.6,-0.3602263226293199,54.9666,-0.2930926875853046,0.228612397936808,0.5517995023447622
220,GEMA,2021,0.266,0.14,0.148,0.137,0.243,0.005,0.265,8.7,94.0,0.126,,,0.026,0.006,0.679,0.202,0.03,-0.01,999.0,1.49,1.49,1.49,0.18,91.8,177.5,117.2,55.6,51.5,17.8,67.8,20.2,10.9,5.63,5.61,8.52,10.0,-0.04,0.0,2.0,1085.913,879.45,-0.210879674709292,772.8000000000001,0.3401561038893175,-0.14758835291373346,0.4691855836480959
221,GEMA,2022,0.255,0.139,0.145,0.113,0.245,0.004,0.243,10.0,106.0,0.115,,,0.026,0.004,0.87,0.139,0.225,0.15,799.5,1.49,1.19,1.34,0.05,75.7,162.8,32.8,56.9,44.3,20.4,81.3,13.0,10.6,4.91,4.68,24.4,9.26,1.03,0.0,2.0,879.45,1066.1280000000002,0.192491960485929,1085.913,-0.210879674709292,0.019020391501222485,0.46094442248086037
223,MTSS,2022,534.1,107.2,224.4,32.6,190.6,112.5,62.8,14.6,210.0,235.6,191.3,114.4,63.2,45.8,1083.0,-9.37,759.3,422.3,235.6,1998.0,470.8,893.1,-174.6,16.3,31.4,-87.4,42.0,6.1,13.3,-347.6,3.0,14.5,7.5,0.88,-2.7,3.98,1.88,0.0,21.0,269.9976,283.5385,0.0489348463466425,342.74670000000003,-0.2385786203173422,0.19100620603228752,0.4528014803426828
224,MTSS,2023,606.0,122.8,234.2,54.6,163.0,101.5,39.7,14.1,126.0,131.5,215.6,111.4,78.8,46.3,1292.0,-5.1,921.9,471.5,248.5,1998.0,496.5,968.0,-224.3,27.3,19.9,-112.3,38.7,9.0,8.0,-1069.6,4.2,9.1,12.5,0.82,-2.21,4.13,2.01,0.0,17.0,283.5385,244.0197,-0.1500989566776151,269.9976,0.0489348463466425,0.07217575652856004,0.4536450305761228
225,MTSS,2024,703.7,135.9,246.4,31.5,138.8,132.4,-1.4,16.7,218.0,152.9,275.5,110.5,89.5,98.6,1517.0,-37.7,1143.0,566.9,209.1,1998.0,417.9,984.8,-256.8,15.8,-0.7,-128.5,35.0,4.5,-0.3,-83.6,2.1,13.3,-298.5,0.59,-1.63,4.0,2.3,0.0,19.0,244.0197,213.7,-0.132675797413905,283.5385,-0.1500989566776151,0.1463916582517773,0.4481438247509266
229,MAGE,2021,12.0,3.5,2.24,2.49,1.83,1.01,0.17,0.0,0.0,13.3,,,4.98,0.034,14.1,5.54,2.25,1.7,7.5,463.8,4.27,5.97,5.54,5.36,0.37,11.9,18.6,20.7,4.9,44.9,17.7,1.72,25.1,0.36,0.77,2.67,0.76,0.0,8.0,7.5,4.68,-0.4716049106127093,8.93,-0.1745133743461428,0.1264874375921753,0.5453089302051415
230,MAGE,2022,11.9,-2.68,1.72,-2.56,-0.54,2.43,-3.55,0.0,0.0,14.2,,1.1,5.41,0.176,18.5,3.48,4.72,4.68,4.68,463.8,2.57,7.25,3.48,-5.52,-7.65,7.5,14.4,-21.5,-163.5,-73.6,-13.9,-1.0,-0.72,0.22,0.74,4.21,2.72,0.0,20.0,4.68,5.29,0.1225201359406526,7.5,-0.4716049106127093,0.15566573018630842,0.46455006415257566
231,MAGE,2023,14.8,-0.1,4.76,-1.39,0.655,2.28,-3.43,0.0,0.0,16.4,,1.7,5.9,0.625,20.1,2.03,8.32,8.22,5.29,463.8,3.06,11.3,2.03,-3.0,-7.39,4.38,32.2,-9.4,-139.8,-68.5,-6.9,-2.2,-0.89,0.21,1.51,2.37,1.73,0.0,15.0,5.29,3.06,-0.5474033299059187,4.68,0.1225201359406526,0.02598643326384524,0.5069897876744459
